graph, size, connectivity, algorithm, repetition, failures, stretch, load, hops, success, cc_size,routing_time, precomputation_time
#Sat Mar  1 17:33:25 2025
3, 23, 1, Outerplanar, 7, 4, 25, 0, 26, 0.950000, 23, 0.000802, 0.016010
3, 23, 1, EdgeDisjointPaths, 7, 4, 0, 0, 2, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 8, 4, 33, 0, 35, 0.950000, 23, 0.000794, 0.015808
3, 23, 1, EdgeDisjointPaths, 8, 4, 0, 0, 4, 0.900000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 9, 4, 33, 0, 35, 0.950000, 23, 0.000793, 0.031819
3, 23, 1, EdgeDisjointPaths, 9, 4, 0, 0, 4, 0.900000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 10, 4, 23, 0, 25, 0.950000, 23, 0.000819, 0.032096
3, 23, 1, EdgeDisjointPaths, 10, 4, 0, 0, 3, 1.000000, 23, 0.000797, 0.000000
3, 23, 1, Outerplanar, 11, 4, 33, 0, 35, 0.950000, 23, 0.000806, 0.016137
3, 23, 1, EdgeDisjointPaths, 11, 4, 0, 0, 4, 0.900000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 12, 4, 35, 0, 36, 0.950000, 23, 0.000000, 0.032601
3, 23, 1, EdgeDisjointPaths, 12, 4, 0, 0, 4, 0.900000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 13, 4, 31, 0, 34, 0.950000, 23, 0.000785, 0.015961
3, 23, 1, EdgeDisjointPaths, 13, 4, 0, 0, 4, 1.000000, 23, 0.000804, 0.000000
3, 23, 1, Outerplanar, 14, 4, inf, inf, inf, 0.000000, 23, 0.000792, 0.016496
3, 23, 1, EdgeDisjointPaths, 14, 4, 4, 0, 7, 0.800000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 15, 4, inf, inf, inf, 0.000000, 23, 0.000795, 0.032324
3, 23, 1, EdgeDisjointPaths, 15, 4, 4, 0, 7, 0.700000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 16, 4, 31, 0, 33, 0.900000, 23, 0.000787, 0.015883
3, 23, 1, EdgeDisjointPaths, 16, 4, 2, 0, 5, 0.950000, 23, 0.000797, 0.000000
3, 23, 1, Outerplanar, 17, 4, 33, 0, 35, 0.900000, 23, 0.000813, 0.016037
3, 23, 1, EdgeDisjointPaths, 17, 4, 0, 0, 3, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 18, 4, 29, 0, 32, 0.900000, 23, 0.000816, 0.032314
3, 23, 1, EdgeDisjointPaths, 18, 4, 0, 0, 4, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 19, 4, 29, 0, 31, 0.900000, 23, 0.000635, 0.019335
3, 23, 1, EdgeDisjointPaths, 19, 4, 0, 0, 4, 1.000000, 23, 0.000798, 0.000000
3, 23, 1, Outerplanar, 20, 4, 29, 0, 32, 0.900000, 23, 0.000814, 0.016005
3, 23, 1, EdgeDisjointPaths, 20, 4, 0, 0, 3, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 21, 4, 29, 0, 33, 0.900000, 23, 0.000813, 0.031982
3, 23, 1, EdgeDisjointPaths, 21, 4, 4, 0, 8, 0.700000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 22, 4, 35, 0, 36, 0.900000, 23, 0.000816, 0.016484
3, 23, 1, EdgeDisjointPaths, 22, 4, 0, 0, 3, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 23, 4, 35, 0, 36, 0.950000, 23, 0.000821, 0.015899
3, 23, 1, EdgeDisjointPaths, 23, 4, 0, 0, 3, 1.000000, 23, 0.000516, 0.000000
3, 23, 1, Outerplanar, 24, 4, 33, 0, 35, 0.950000, 23, 0.000816, 0.005950
3, 23, 1, EdgeDisjointPaths, 24, 4, 0, 0, 3, 1.000000, 23, 0.000817, 0.000000
3, 23, 1, Outerplanar, 25, 4, 31, 0, 33, 0.950000, 23, 0.000251, 0.026975
3, 23, 1, EdgeDisjointPaths, 25, 4, 4, 0, 7, 1.000000, 23, 0.000785, 0.000000
